Składniki	Складники
Dzięki temu dokumentowi	З цим документом
można swobodnie wchodzić do miasta Archolos.	ви можете вільно потрапити до міста Архолос.
Jest wypisany na kupca Veita.	Виписаний на ім'я купця Вейта.
Nie wykorzystam go w żaden sposób.	Я жодним чином не збираюся ним скористатись.
Zwykła skrzynia pełna ryb.	Звичайний ящик, наповнений рибою.
Pytanie brzmi, co się stało z rybakiem?	Питання в тому, що сталося з рибалкою?
Zwykłe, śmierdzące, owcze łajno.	Звичайний, смердючий, овечий гній.
Śmierdzący prezent od Otho i jego owieczek.	Смердючий подарунок від Отто та його овець.
Zwykły kamień	Звичайний камінь
Lista osób poszukujących czeladnika.	Список людей, які шукають собі помічника.
Lista mięs, jakie mam przynieść Slagerowi	Список м'яса, яке потрібно принести Слагеру
w ramach testu na czeladnika.	в рамках тесту, щоб стати його помічником.
Zaświadczenie czeladnicze, które otrzymałem od	Посвідчення помічника,
Slagera.	яке я отримав від Слагера.
Akt własności, który Frida	Документ про власність, який Фріда
kazała mi wykraść Alice.	доручила мені вкрасти в Аліси.
Nie ma w nim żadnych ciekawych informacji.	У ньому немає ніякої цікавої інформації.
Dziennik należący do Alice.	Щоденник, що належить Алісі.
Opisała tutaj, dlaczego nie lubi Fridy.	Тут вона пояснила, чому їй не подобається Фріда.
Certyfikat przekazywany przy sprzedaży	Сертифікат, який видається після придбання скрині.
kufra. Wykradłem go konkurentowi Davisa.	Я вкрав її у конкурента Девіса.
Skrzynia pełna różnych narzędzi	Скриня, повна різних інструментів,
służących do produkcji zamków.	що використовуються для виготовлення замків.
Pyszny gulasz Marthy.	Смачне рагу Марти.
Pyszny gulasz Marthy,	Смачне рагу Марти,
nalany do większej miski.	налите у велику миску.
Ciężka jak cholera sterta drewna.	В біса важкий обремок дров.
Powinienem dostarczyć ją Bastianowi.	Треба віднести це Бастіану.
Lista z zamówieniem Bodowina.	Оголошення із замовленням Бодовіна.
Mam ją rozwiesić w Silbach.	Я маю повісити його в Зільбаху.
Przyrządzone przez Bodowina lekarstwo	Приготовані Бодовіном ліки
dla Jorna.	для Йорна.
Dostałem ten dokument od skryby Mateya.	Я отримав цей документ від писаря Матея.
Opisuje, w jaki sposób można zostać obywatelem.	В ньому описано, як стати громадянином.
Opisuje, w jaki sposób można znaleźć zatrudnienie.	В ньому описано, як знайти роботу.
Ten liścik znalazłem przy jednym z bandziorów,	Я знайшов цю записку у одного з хуліганів,
z którymi ja i Weigar mieliśmy dokonać wymiany.	з яким ми з Вайгаром мали здійснити обмін.
Perły, które zebrałem dla Kobusa.	Перлини, які я зібрав для Кобуса.
Muszę je teraz wrzucić do kadzi z wodą.	Тепер мені потрібно покласти їх у казан з водою.
Jedna z zaginionych paczek Maika.	Один зі зниклих пакунків Майка.
Otrzymane od Ergo nasiona i nawóz.	Насіння та добрива, які дав мені Ерго.
Potrzebne do stworzenia nowych upraw.	Потрібні для вирощення нового врожаю.
Pismo ze zleceniem od Volkera.	Лист з дорученням від Волкера.
Otrzymałem je od Bradlocka.	Я отримав його від Бредлока.
Księga rachunkowa zabrana	Бухгалтерська книга, вилучена
karczmarzowi Gerstandowi.	у корчмаря Герстанда.
Dziennik zmarłego właściciela winnicy,	Щоденник покійного власника виноградника,
ojca Andreasa i Holdwiga - Valerio.	батька Андреаса і Гольдвіга - Валеріо.
Wzór testamentu zgodny z wolą Valerio.	Зразок заповіту згідно з заповітом Валеріо.
Liam prosił, bym zaniósł go do Venzela.	Ліам попросив мене віднести його Венцелю.
Poprawnie spisana wersja testamentu Valerio,	Правильно написана версія заповіту Валеріо,
przygotowana przez Venzela.	підготована Венцелем.
Wymaga podpisu.	Потребує підпису.
W pełni oficjalna wersja testamentu Valerio.	Повністю офіційна версія заповіту Валеріо.
Znalazłem go przy trupie	Я знайшов його біля мертвого тіла
podczas bitwy o winnicę Valerio.	під час битви за виноградник Валеріо.
Adresatem jest Darthe.	Адресовано Дарту.
Ten dokument upoważnia Ezekiela	Цей документ дозволяє Єзекіїлю
do handlu na terenie Silbach.	торгувати на території Зільбаху.
Wymagana Alchemia:        Brak	Необхідна Алхімія: Ні
Uwaga, substancja żrąca!	Обережно, отруйна речовина!
List z ofertą Adelarda	Лист з пропозицією Аделарда
w sprawie posterunku Darthe.	на рахунок посади Дарта.
Dokument opowiadający o Glenwyr.	Документ, що розповідає історію Гленвіра.
Otrzymałem go od Ronji.	Я отримав його від Роні.
Notatka, którą znalazłem	Записка, яку я знайшов
przy ciele Aleny.	біля тіла Олени.
Szczelnie zapieczętowana	Щільно запечатаний
paczka o dziwnym zapachu.	пакунок з дивним запахом.
Otrzymałem ją od Petry.	Я отримав його від Петри.
Powinienem ją otworzyć	Я повинен відкрити його
i rozdać ziele farmerom.	і продати траву фермерам.
Worek z aromatycznymi ziarnami czerwonego pieprzu.	Мішечок з ароматними зернами червоного перцю.
List napisany przez Bradlocka.	Лист, написаний Бредлоком.
Przeprasza	У ньому він вибачається
w nim Fridę za niedogodności z jego ludźmi.	перед Фрідою за незручності, завдані його людьми.
Przepustka pozwalająca na wejście do miasta.	Перепустка, що дозволяє входити до міста.
Otrzymałem ją od Albyna.	Я отримав її від Альбіна.
List od Knuta, zaadresowany do Dacka,	Лист від Кнута, адресований Даку,
szefa stoczni w mieście Archolos.	керівнику корабельні в місті Архолос.
Dzięki niemu będę mógł wejść do miasta.	Завдяки йому я зможу увійти до міста.
Dokument potwierdzający, że	Документ, який підтверджує, що
jestem obywatelem miasta Archolos.	я громадянин міста Архолос.
Nasiona, które otrzymałem od	Насіння, яке я отримав від
Hershlika.	Гершліка.
Muszę je zasadzić.	Мені потрібно його посадити.
Akt własności, który dostałem od żeglarza.	Акт власності, який я отримав від моряка.
Zgodnie z jego treścią, jestem teraz właścicielem	Згідно з ним, я тепер володію
domu przy Targu Rybnym w porcie.	будинком біля Рибного ринку в гавані.
Klucz, który dostałem od żeglarza.	Ключ, який я отримав від моряка.
Pokryty grubą warstwą kurzu mieszek.	Гаманець, вкритий товстим шаром пилу.
W środku pobrzękują monety.	Всередині дзвенять монети.
Znalazłem go w chacie Kurta.	Я знайшов його в хатині Курта.
Dziwny pierścień z wyrytymi geometrycznymi symbolami	Дивний перстень з викарбуваними геометричними символами
i błękitnym kamieniem umieszczonym pośrodku.	і синім каменем посередині.
Zwykła, drewniana skrzynia	Звичайний дерев'яний ящик
z butelkami wina w środku.	наповнений пляшками вина.
Dziwnie lekka ryba, jakby	Підозріло легка рибина, виглядає так,
ktoś ją wydrążył.	ніби її хтось випатрав.
Klucz, który znalazłem w dziwnej rybie.	Ключ, який я знайшов в дивній рибині.
Zamknięta paczka o osobliwym i znajomym zapachu.	Закритий пакунок зі своєрідним і знайомим запахом.
Trzeba z tym uważać.	З цим треба бути обережним.
Zwykłe koło wozu.	Звичайне колесо від воза.
Książka zawierające informacje	Книга, що містить інформацію
na temat zasad gry w szachy.	про правила гри в шахи.
Matey wymaga takich referencji	Матей вимагає такі рекомендації
do nadania obywatelstwa.	для надання громадянства.
Oprócz pochwał nie ma tu nic ciekawego.	Окрім похвали, тут немає нічого цікавого.
Jedna z części dźwigu portowego.	Одна з деталей крана у гавані.
Pismo od Ruuda do Beinarda.	Лист від Рууда до Бейнарда.
Wyraża w nim zgodę na zabieg.	У ньому він дає свою згоду на проведення операції.
Zapachem bardziej przypomina ocet niż wino.	Запах більше нагадує оцет, ніж вино.
Dostałem je od Lorenzo.	Я отримав його від Лоренцо.
Wydaje mi się, że pulsuje energią.	Мені здається, що він пульсує енергією.
Lista, którą zabrałem podejrzanemu	Записка, яку я забрав у підозрілого
obywatelowi podczas patrolu.	громадянина під час патрулювання.
Lista wszystkich trenerów zajmujących się	Перелік усіх вчителів, залучених до
szkoleniem bojowym strażników miejskich.	бойової підготовки міської варти.
szkoleniem bojowym członków Araxos.	бойової підготовки членів Гільдії Араксос.
Specjalna sieć, która uległa uszkodzeniu.	Спеціальна рибальська сітка, яку було пошкоджено.
Naprawiona specjalna sieć.	Відремонтована спеціальна рибальська сітка.
Zwykłe pomyje.	Звичайні помиї.
Torba pełna	Повна торбина
złotych monet.	золотих монет.
Wszystkie rzeczy, jakie	Усі речі, що
odebrali mi renegaci.	забрали у мене відступники.
Uszkodzona woskowa pieczęć z emblematem	Пошкоджена воскова печатка з емблемою
straży miejskiej i wyrytym imieniem 'RODERICH'.	міської варти та викарбуваним іменем 'РОДЕРІХ'.
Notatki Salviego, które znalazłem w jego skrzyni.	Записка Сальві з його скрині.
Przygotowuje się do czegoś większego.	Він готується до чогось більшого.
Znalazłem go w porcie.	Я знайшов його в гавані.
Wygląda, jakby nie zdążył zostać wysłany.	Схоже, його не встигли відправити.
Znalazłem go przy zwłokach	Я знайшов його біля трупа,
leżących pośrodku portu.	що лежав посеред гавані.
List, który znalazłem przy ciele na bagnie.	Лист, який я знайшов біля тіла на болоті.
Jest w nim ostrzeżenie o jakimś Cortezie i Siepaczu.	У ньому попередження про якихось Кортеса і Сироту.
Pożywny wywar przygotowany	Поживний бульйон приготовано
na bazie świeżej ryby.	зі свіжої риби.
Krótki liścik na pomiętym kawałku pergaminu.	Коротка записка на зім'ятому клаптику пергаменту.
Widnieje na nim podpis Petry.	На ній стоїть підпис Петри.
Wygląda na mocny towar.	Схоже, міцна штука.
Szczelnie zapieczętowana,	Щільно запечатаний пакунок
nieoznakowana w żaden sposób	без ніякого маркування.
paczka o osobliwym zapachu.	Має специфічний запах.
Znalazłem ten list przy	Я знайшов цей лист у
herszcie grupy oprychów.	ватажка групи головорізів.
Dokument opisuje tereny łowieckie	Документ описує мисливські угіддя
dla tropicieli Araxos.	для слідопитів Араксос.
Skrzynia ze statku 'Avenal'.	Скриня з корабля 'Авенал'.
Powinienem zanieść ją do magazynu.	Треба віднести її на склад.
Znak od Lorenzo.	Знак від Лоренцо.
Muszę uważać, komu ją pokazuję.	Я маю бути обережним з тим, кому його показувати.
Znalazłem ją w wieży w kopalni Araxos.	Я знайшов його у вежі в копальні Араксос.
Zawiera informacje o jakimś starym górniku.	Містить інформацію про якогось старого гірника.
Skręt z zagubionej paczki Heisnera.	Самокрутка із загубленого пакунка Гейснера.
Ma bardzo charakterystyczny zapach.	Він має дуже характерний запах.
Szczelnie zamknięta paczka o osobliwym	Щільно запечатаний пакунок з незвичайним
i charakterystycznym zapachu.	і характерним запахом.
Musi należeć do Heisnera.	Має належати Гейснеру.
Wygląda, jakby miała się rozlecieć po kilku strzałach.	Виглядає так, ніби він розвалиться після кількох пострілів.
Paczka ziół od Bodowina dla Detlowa.	Пакунок трав від Бодовіна для Детлоу.
Wypełniona po brzegi paczka z żywnością.	Пакунок, вщерть заповнений продуктами.
To ją musieli przewozić rekruci.	Саме його повинні були принести новобранці.
Karteczka, którą znalazłem	Записка, яку я знайшов
u uchodźców z falochronu.	у біженців з хвилерізу.
Kopia grubej księgi o technikach kowalskich	Копія товстої книги про техніку ковальського ремесла
Nordmarczyków, spisana przez Araxos.	нордмарців. Написана Гільдією Араксос.
Jej przestudiowanie zajęłoby mi wiele miesięcy.	Мені знадобилося б багато місяців, щоб вивчити її.
Gruba księga o technikach kowalskich	Товста книга про техніку ковальського ремесла
Nordmarczyków.	нордмарців.
Jej przestudiowanie	Її вивчення
zajęłoby mi wiele miesięcy.	зайняло б у мене багато місяців.
Fragment jakiegoś klucza.	Фрагмент якогось ключа.
Wygląda, jakby ktoś z jakiegoś	Схоже, що хтось з якихось причин
powodu podzielił klucz na dwoje.	розділив ключ надвоє.
But nieszczęśnika, którego znalazłem w lesie	Черевик нещасного, якого я знайшов у лісі
przy kopalni królewskiej.	біля Королівської копальні.
W środku chyba coś jest.	Здається, всередині щось є!
Otworzę nim bogato zdobioną skrzynię	З його допомогою я відкрию багато оздоблену скриню
w królewskiej kopalni soli.	у Королівській соляній копальні.
Malen musi zapoznać się	Мален повинен ознайомитися
z jego treścią.	з його вмістом.
Złodziej zabrał ją Elidowi.	Злодій забрав його у Еліда.
Ma mi pomóc trafiać w cele.	Це має допомогти мені влучати в ціль.
Zapłata za ostatnią dostawę wina do Przystani.	Оплата за останню доставку вина до Притулку.
Lepiej tego nie ruszać.	Краще це не чіпати.
Specjalny znak dla Antonio,	Спеціальний знак для Антоніо,
który otrzymałem od Corteza.	який я отримав від Кортеса.
Dokument potwierdza opłacenie	Документ підтверджує оплату
dostaw dla Przystani Łotrów.	постачання для Притулку негідників.
Otrzymałem je od Szmuglera.	Я отримав його від Койота.
Znalazłem go przy ciele Antonio.	Я знайшов його на тілі Антоніо.
Lista Corteza, którą mam przekazać Antonio.	Список Кортеса, який мав бути переданий Антоніо.
Kapitan chce zwabić oszustów w naszą zasadzkę.	Капітан хоче заманити шахраїв у нашу засідку.
Gałęzie do przygotowania pułapki	Гілки для підготовки пастки
Liście do przygotowania pułapki	Листя для підготовки пастки
na Szmuglera i jego bandę.	на Койота та його банду.
Jeden z towarów dla Corteza.	Один з товарів для Кортеса.
Pochodzi z rozbitego statku.	Походить з затонулого корабля.
Notka, którą znalazłem przy	Записка, яку я знайшов у
rannym piracie.	пораненого пірата.
Zawiera informacje	Містить інформацію
o towarach ze statku Corteza.	про товари з корабля Кортеса.
Dostałem go od Saula podczas turnieju.	Я отримав його від Сола під час турніру.
Ma mi pomóc w następnych walkach.	Він має допомогти мені в наступних боях.
Dziennik nie jest w dobrym stanie.	Щоденник в поганому стані.
Notka, którą znalazłem w domu Dinkela.	Записка, яку я знайшов у будинку Дінкеля.
Runa teleportacyjna do	Руна телепортації до
kaplicy Innosa w mieście.	до святилища Інноса у місті.
kaplicy Adanosa w mieście.	святилища Аданоса в місті.
mojego domu w mieście.	мого дому у місті.
Sakiewka zabrana Larry'emu	Гаманець, який у Ларрі
przez Rębacza.	відібрав Різник.
Drewniana podobizna Innosa.	Дерев'яна фігурка Інноса
Wymaga jeszcze trochę pracy.	Над нею ще треба попрацювати.
Prosty schemat, obrazujący, jak	Проста схема, на якій зображено,
powinna wyglądać figurka Innosa.	як має виглядати фігурка Інноса.
Dokument, który miała przy sobie Mia.	Документ, який мала при собі Мія.
Może posłużyć jako dowód w sprawie.	Може бути використаний як доказ у справі.
Mapa skarbów, którą znalazł	Мапа скарбів, яку знайшов
Moritz.	Моріц.
Jedno miejsce nie	Одне місце
zostało jeszcze sprawdzone.	ще не перевірено.
Menzurka wypełniona krwią.	Мензурка, наповнена кров'ю.
Srebrny, najeżony kolcami grot bełtu.	Срібний наконечник з шипами.
Z trudem udało mi się go wyjąć	Насилу мені вдалося витягти його
z ciała tego nieszczęśnika.	з тіла того нещасного.
Ulotka agitująca do protestów	Листівка із закликом до протестів
przeciwko bogatym obywatelom miasta.	проти багатих мешканців міста.
Dostałem ją od Venzela.	Я отримав її від Венцеля.
Preparat na trawienie Ramhy.	Препарат Рамхи для травлення.
Płyn wygląda na gęsty, ale przejrzysty.	Рідина виглядає густою, але прозорою.
Mikstura na trawienie Hershlika.	Зілля для травлення Гершліка.
Etykieta na menzurce została zdrapana.	Етикетка на мензурці була зішкрябана.
Ludzka ręka wyjęta z brzucha zębacza przy dźwigu.	Людська рука, витягнута з черева снеппера біля підйомника.
Dłoń jest zaciśnięta i chyba wciąż coś trzyma.	Рука стиснута і все ще щось тримає.
Znalazłem ją w pobliżu dźwigu	Я знайшов його поблизу підйомника,
prowadzącego do Wilczego Leża.	що веде до Вовчого Лігва.
Znalazłem je na dnie jeziora	Я знайшов її на дні озера
w pobliżu Wilczego Leża.	біля Вовчого Лігва.
Dokument zawiera informacje na temat	Документ містить інформацію про
akcji przeciwko przemytnikom.	дії проти контрабандистів.
Otrzymałem go od Lorenzo.	Я отримав його від Лоренцо.
Ma mi pomóc z odnalezieniem	Це допоможе мені відстежувати
działalności przemytników.	діяльність контрабандистів.
Liścik znaleziony przez strażnika	Записка, знайдена вартовим
w okolicach wodospadu przy jaskini renegatów.	біля водоспаду поблизу печери відступників.
Mimo opłakanego stanu,	Незважаючи на свій жалюгідний стан,
można z niego odczytać kilka słów.	з нього ще можна прочитати декілька слів.
Stos patyków i liści.	Купа гілок і листя.
Posłużą za kamuflaż.	Будуть корисними в якості маскування.
Beczka wypełniona po brzegi czarnym prochem.	Бочка, доверху заповнена чорним порохом.
Lepiej trzymać ją z dala od ognia.	Краще тримати подалі від вогню.
Ustandaryzowany pancerz strażnika	Стандартний обладунок вартового
Królestwa Myrtany.	Королівства Міртана.
Preparat, który przygotowała Ramha.	Засіб, який приготував Рамха.
Ma posłużyć do uszkodzenia pancerzy.	Призначений для пошкодження обладунків.
Oficjalne przeprosiny od Lorenzo	Офіційні вибачення від Лоренцо,
skierowane do handlarza Kaleba.	адресовані торговцю Калебу.
Butelka krwi kretoszczura.	Флакон з кров'ю кротощура.
Łatwo ją pomylić z ludzką.	Її легко сплутати з людською.
Lista przedmiotów potrzebnych Unicornowi.	Перелік предметів, потрібних Юнікорну.
Czerwona szata noszona	Червона мантія, яку носять
wyłącznie przez Magów Ognia.	виключно маги Вогню.
Woreczek pełen czarnego proszku.	Мішок, наповнений чорним порошком.
Lepiej trzymać go z dala od ognia.	Краще тримати подалі від вогню.
Wygląda inaczej niż ten srebrny,	Він відрізняється від того срібного,
który znalazłem w mieście.	якого я знайшов у місті.
Znalazłem go w kufrze Jona.	Я знайшов його в скрині Йона.
Instrukcja wymagana do	Інструкція, необхідна для того,
odczytania jakiegoś szyfru.	щоб прочитати якийсь шифр.
Dokument umożliwiający mi zejście	Документ, що дозволяє мені спуститися
do kopalni srebra w Wilczym Leżu.	до срібної копальні у Вовчому Лігві.
Poduszka dla Legrifa	Подушка для Легріфа,
wykonana przez Lucy.	яку зробила Люсі.
List od ukochanej Wilczego Syna Dalmona.	Лист від коханої Вовчого Сина Далмона.
Wygląda, jakby była zapisana jakimś szyfrem.	Схоже, він був написаний якимось шифром.
Mapa Jona.	Мапа Йона.
Nie da się z niej nic odczytać.	На ній майже нічого не можна розібрати.
Wyczyszczona mapa Jona.	Очищена мапа Йона.
Widać na niej zaznaczone miejsce.	На ній можна побачити позначене місце.
Kartka wyrwana z dziennika Kurta.	Сторінка, вирвана зі щоденника Курта.
Jeden z eliksirów Yezegana.	Однин з еліксирів Єзегана.
Mam go na kimś przetestować.	Я маю випробувати його на комусь.
Wstępnie przygotowana informacja o licytacji domu.	Попередня інформація про аукціон з продажу будинку.
Sędzia poprosił mnie	Суддя попросив мене
o zamówienie jej kopii u Venzela.	замовити її копію у Венцеля.
Informacja o licytacji domu.	Інформація про аукціон з продажу будинку.
Mam rozwiesić je na tablicach w mieście.	Я маю розмістити їх на дошках оголошень у місті.
Ogłoszenie w sprawie licytacji domu.	Оголошення про аукціон з продажу будинку.
Zawiera niepoprawną datę licytacji.	Містить невірну дату торгів.
Spis miejsc, w których muszę rozwiesić	Список місць, де потрібно розвісити
ogłoszenia dotyczące licytacji domu.	оголошення про виставлення будинку на торги.
Ogłoszenie, które wręczył mi goniec Araxos.	Оголошення, передане мені посланцем Гільдії Араксос.
Liścik wspomina o licytacji na Starym Mieście.	У листі згадується аукціон у Старому місті.
Mała, zdobiona szkatułka.	Невелика оздоблена скринька.
Ze środka wydobywają się jakieś ciche szmery.	Зсередини долинають якісь тихі звуки.
Mam dziwne przeczucie,	У мене дивне передчуття,
że nie powinienem tego pić...	що мені не варто це пити...
Ten list znalazłem obok ławki,	Я знайшов цю записку біля лавки,
gdzie wcześniej przebywał Południowiec,	де я зустрів південця,
który zlecił mi podrzucenie skrzyneczki.	який попросив мене передати коробку.
Znalazłem ją przy ławce,	Я знайшов його біля лавки,
gdzie Południowiec zlecił	де південець попросив
mi podłożenie skrzyneczki.	мене передати коробку.
Posępna czaszka ze starej wieży.	Похмурий череп зі старої вежі.
Szczelnie zamknięta skrzynia.	Щільно замкнена скринька.
Strona wygląda na niezwykle starą.	Виглядає надзвичайно старою.
Otrzymałem ją od Tonana.	Я отримав її від Тонана.
Znalazłem ją w jeziorze niedaleko Wilczego Leża.	Я знайшов її в озері неподалік від Вовчого Лігва.
Znalazłem ją w kapliczce Innosa na cmentarzu.	Я знайшов її біля святині Інноса на кладовищі.
Znalazłem ją na opuszczonym cmentarzu.	Я знайшов її на покинутому кладовищі.
Znalazłem ją w pobliżu ruin Vardhal.	Я знайшов її біля руїн Вардхалу.
Dokładne informacje na temat warty Arethe.	Точна інформація про несення варти від Арета.
Będę musiał postępować zgodnie z tym, co opisał.	Мені доведеться слідувати його вказівкам.
List od Einara	Лист від Ейнара
do Crednara.	до Креднара.
Część wykonana dla Einara.	Деталь, викувана для Ейнара.
Muszę ją schłodzić.	Потрібно її охолодити.
Forma w kształcie wilka.	Форма в вигляді вовка.
Pisemna referencja od Albyna.	Письмова рекомендація від Альбіна.
Otrzymałem ją razem z przepustką do	Я отримав її разом з перепусткою до
miasta.	міста.
Widnieją tu głównie pochwały.	В ній здебільшого похвальні відгуки.
Kupiłem je od Bastiana.	Я купив його у Бастіана.
Mam nadzieję, że zasmakuje Marcie.	Сподіваюся, воно припаде до смаку Марті.
Przygotowany przez Bastiana.	Підготував Бастіан.
Mam nadzieję, że Lutz i Martha	Сподіваюся, Люц і Марта
będą zadowoleni z zawartości.	будуть задоволені його вмістом.
Dziennik znaleziony w kufrze Rodrigo.	Щоденник, знайдений у скрині Родріго.
Wygląda, jakby brakowało paru stron.	Схоже, не вистачає кількох сторінок.
Ten dziwny proszek znalazłem w skrzyni Rodrigo.	Я знайшов цей дивний порошок в скрині Родріго.
Ma bardzo ostry i intensywny zapach.	Він має дуже різкий і сильний запах.
Jagody, które znalazłem u Foxa.	Ягоди, які я знайшов у Фокса.
Może lepiej tego nie próbować...	Мабуть, їх краще не пробувати...
Ciężka torba pełna	Важкий гаманець, повний
Potrawka, od której umarł Stan.	Страва, від якої помер Стен.
Otrzymałem go od Javada.	Я отримав його від Джавада.
Dziwne trofeum...	Дивний трофей...
Mam wrażenie, jakby mnie obserwowała.	Таке відчуття, що вона спостерігає за мною.
Substancja wabiąca szczury.	Речовина, що приманює щурів.
Otrzymałem ją od Ramhy.	Я отримав її від Рамхи.
Mam ją wykorzystać obok stoczni.	Я маю використати її поруч з корабельнею.
Drewno wykradzione	Деревина, вкрадена
w celu sabotowania stoczni.	для диверсії на корабельні.
List z informacjami	Лист з інформацією
o sabotażu stoczni.	про диверсію на корабельні.
Spisane przemyślenia Dacka.	Записані думки Дака.
Może znajdę tam coś, co pomoże	Можливо, я знайду там щось, що допоможе
mi w sabotowaniu stoczni.	мені з диверсією на корабельні.
Nieostrożnie spisana notatka.	Недбало написана записка.
Pismo jest bardzo niezdarne.	Написано дуже незграбно.
Figurka pobrzmiewa, jakby	Фігурка дзвенить так, ніби
coś znajdowało się w środku...	всередині щось є...
Musiała należeć do zwiadowcy	Мабуть, вона належала розвіднику,
wysłanego przez Graysona.	якого відправив Грейсон.
List adresowany do Graysona	Лист, адресований Грейсону.
Zawiera informacje o ostatnich	Містить інформацію про останні
działaniach orków na Archolos.	дії орків на Архолосі.
List z wezwaniem do pomocy w sprawie orków.	Лист із закликом про допомогу в боротьбі з орками.
Autorem jest Grayson.	Автор - Грейсон.
Informacje Kessela na temat aktualnego	Інформація Кесселя про поточне
miejsca występowania krzykaczy Volkera.	місцезнаходження оповісників Волкера.
Oryginalny tekst przemówienia	Оригінальний текст промови
najemników Lichwiarza.	найманців Лихваря.
Moja autorska, sfałszowana wersja	Моя власна підроблена версія
przemówienia najemników Lichwiarza.	промови найманців Лихваря.
Niewysłany list, który znalazłem	Невідправлений лист, який я знайшов
przy młodym najemniku Lichwiarza.	у молодого найманця Лихваря.
Znalazłem ją na dachu klasztoru.	Я знайшов його на даху монастиря.
Na pewno należy do nowicjusza Artura.	Він точно належить послушнику Артуру.
Znalazłem go na dachu klasztoru.	Я знайшов його на даху монастиря.
Roślina przypomina ognisty korzeń.	Рослина нагадує вогняний корінь.
Parzy dłonie przy dotyku i śmierdzi siarką.	Обпікає руки при дотику і пахне сіркою.
Nadtrawiony parzący ognisty korzeń.	Переварений паруючий вогняний корінь.
Lepi się i strasznie śmierdzi.	Він липкий і жахливо пахне.
Efekt: ???	Ефект: ???
Jeden z notatników Bodowina.	Один із записників Бодовіна.
Znalazłem go w jego pracowni.	Я знайшов його в його майстерні.
Notka spisana węglem na pomiętej kartce.	Записка, написана вугіллям на зім'ятому клаптику паперу.
Wygląda, jakby miała przynajmniej kilka lat.	Виглядає так, ніби їй щонайменше кілька років.
Znalazłem ją przy ciele w piwnicy Bodowina.	Я знайшов її біля тіла в підвалі Бодовіна.
Znalazłem to ogłoszenie w piwnicy Bodowina.	Я знайшов це оголошення в підвалі Бодовіна.
Warunki kapitulacji dla Corteza	Умови капітуляції для Кортеса
i całej Przystani Łotrów.	і усього Притулку негідників.
Księga wygląda, jakby coś ukryto pomiędzy stronami.	Книга виглядає так, ніби між сторінками щось заховано.
Oryginalna receptura mistrza Dagoberta.	Оригінальний рецепт майстра Дагоберта.
Ledwo można coś z tego odczytać.	Майже нічого не можна розібрати.
Lista przedmiotów, których Riordian	Список предметів, необхідних
potrzebuje do przygotowania stanowiska	Ріордіану для підготовки
alchemicznego w klasztorze.	алхімічного столу в монастирі.
Księga z biblioteki klasztornej.	Книга з бібліотеки монастиря.
Muszę odłożyć ją na odpowiednią półkę.	Мені потрібно покласти її назад на правильну полицю.
Książka opisująca walkę z cieniostworami.	Книга описує, як боротись з мракорисами.
Jeden z przedmiotów, które	Один з предметів, необхідних
Riordian potrzebuje do przygotowania	Ріордіану для підготовки
stołu alchemicznego.	алхімічного столу.
Kuferek pachnie przeróżnymi	Скринька, що пахне різними
składnikami alchemicznymi.	алхімічними інгредієнтами.
Receptura Dagoberta, uzupełniona przez Riordiana.	Рецепт Дагоберта, доповнений Ріордіаном.
Zabrałem go magowi z ruin Vardhal.	Я забрав його у мага в руїнах Вардхалу.
Zabrałem go z ciała poszukiwacza przygód.	Я забрав його з тіла шукача пригод.
Fragment klucza do Vardhal z muzeum miejskiego.	Фрагмент ключа від Вардхалу з міського музею.
Zapasy żywności, które otrzymałem od Ruperta	Харчові припаси, які я отримав від Руперта
na wyprawę do grobowca.	для походу до гробниці.
Otworzę pakunek dopiero w środku.	Я відкрию їх лише, коли буду в гробниці.
Najwyższy czas otworzyć paczkę.	Настав час відкрити пакунок.
Butelki piwa, które otrzymałem od Tomasa	Пляшки пива, які я отримав від Томаса
Zajmę się nimi dopiero w środku.	Знадобляться, коли буду в гробниці.
Najwyższy czas zająć się butelkami.	Настав час подбати про пляшки з пивом.
Zapasy żywności, które otrzymałem od Helgi	Харчові припаси, які я отримав від Хельги
Zapasy żywności, które otrzymałem od Rity	Харчові припаси, які я отримав від Рити
Zapasy żywności, które otrzymałem	Харчові припаси, які я отримав від
od winnicy Valerio na wyprawę do grobowca.	від виноградника Валеріо для походу до гробниці.
Zapasy mięsa, które otrzymałem od Slagera	М'ясні припаси, які я отримав від Слагера.
Pakunek jest wyjątkowo ciężki.	Пакунок дуже важкий.
Zapasy żywności, które otrzymałem od Ernesto	Харчові припаси, які я отримав від Ернесто
Pakunek jest bardzo lekki.	Пакунок дуже легкий.
Otworzę go dopiero w środku.	Відкрию його тільки в гробниці.
Zapasy żywności, które otrzymałem od Bastiana	Харчові припаси, які я отримав від Бастіана
Skrzynia, którą otrzymałem od Zachary'ego	Ящик, який я отримав від Захарія.
Otworzę ją dopiero w środku grobowca.	Я відкрию його лише, коли буду в гробниці.
Najwyższy czas otworzyć skrzynię.	Настав час відкрити ящик.
Skrzynia wypełniona miodem, którą otrzymałem	Ящик з медом, який я отримав від
od Bevina na wyprawę do grobowca.	від Бевіна для походу до гробниці.
Strasznie się klei.	Страшенно липкий.
Najwyższy czas otworzyć skrzynkę.	Настав час відкрити ящик.
