%s - Poziom %d - Rozdział %d	%s - Рівень %d - Розділ %d
'Ciasto' z łajna	'Пиріг' з гною
Wyryto na nim imię 'KIEP'.	На ньому викарбувано ім'я 'КІП'.
Wyryto na nim imię 'LUCY'.	На ньому викарбувано ім'я 'ЛЮСІ'.
Wyryto na nim imię 'MIKI'.	На ньому викарбувано ім'я 'МІКІ'.
Wyryto na nim imię 'SHAREC'.	На ньому викарбувано ім'я 'ШАРЕЦЬ'.
Wyryto na nim litery NEK.	На ньому викарбувані літери НЕК.
Wysoką cenę zawdzięcza niezwykle	Його висока ціна зумовлена тим, що він
Wystarczy łyk,	Лише один ковток
Wystraszona dziewczyna	Налякана дівчина
Wystraszona uchodźczyni	Налякана біженка
Wystrugaj wiosło	Зробити весло
Wytrawne wino Ernesto	Сухе вино Ернесто
Wytrych	Відмичка
Wytrzymała sieć	Міцна рибальська сітка
Wytrzymałe włókno wykorzystywane do tworzenia	Міцне волокно, що використовується для виготовлення
Wytyczne dla tropicieli	Вказівки для слідопитів
Wywar grzybowy	Грибний бульйон
Wywar ma wzmocnić zdolności osoby, która go wypije.	Зілля має посилити здібності того, хто його вип'є.
Wywar z całych ryb, razem z głowami.	Відвар з цілих рибин, включаючи голови.
Wywar z grzybów i ziół	Бульйон з грибами та травами
Wywar z niebieskiego bzu	Відвар з синьої бузини
Wyważona glewia	Збалансована глефа
Wyważona kolczasta pałka	Збалансована колюча палиця
Wyważone ostrze	Збалансований клинок
Wyśmienita zbroja Rycerska	Найкращий обладунок лицаря
Wyśmienita zbroja Straży Królewskiej	Найкращий обладунок королівської гвардії
Wyśmienita zbroja kusznika straży	Найкращий важкий обладунок вартового арбалетника
Wyśmienita zbroja szermierza Araxos	Найкращий важкий обладунок мечника Араксос
Wyśmienita zbroja szermierza straży	Найкращий важкий обладунок вартового мечника
Wyśmienita zbroja z Vardhal	Найкращий обладунок з Вардхалу
Wyśmienita zbroja z pancerzy krabów	Найкращий обладунок з панцира краба
Wyśmienite ubranie strażnika	Найкраще вбрання вартового
Wyśmienity ciężki pancerz Południowca	Найкращий важкий південний обладунок
Wyśmienity dwuręczny miecz strażnika	Вишуканий дворучний меч вартового
Wyśmienity lekki pancerz Południowca	Найкращий легкий південний обладунок
Wyśmienity lekki skórzany pancerz	Найкращий легкий шкіряний обладунок
Wyśmienity lekki strój kolczy	Найкраща легка кольчуга
Wyśmienity miecz strażnika	Вишуканий меч вартового
Wyśmienity pancerz Nordmarczyka	Найкращий обладунок нордмарця
Wyśmienity pancerz Wilczego Syna	Найкращий обладунок Вовчого Сина
Wyśmienity pancerz kusznika straży	Найкращий обладунок вартового арбалетника
Wyśmienity pancerz najemnego strażnika	Найкращий обладунок найманця
Wyśmienity pancerz starszego gońca	Найкращий обладунок старшого посланця
Wyśmienity pancerz strażnika	Найкращий обладунок вартового
Wyśmienity pancerz strzelca Araxos	Найкращий обладунок стрільця Араксос
Wyśmienity pancerz szermierza Araxos	Найкращий обладунок мечника Араксос
Wyśmienity pancerz szermierza straży	Найкращий обладунок вартового мечника
Wyśmienity pancerz tropiciela Araxos	Найкращий обладунок мисливця Араксос
Wyśmienity skórzany pancerz	Найкращий шкіряний обладунок
Wyśmienity strój gońca Araxos	Найкраще вбрання посланця Араксос
Wyśmienity strój kolczy	Найкраща кольчуга
Wyśmienity strój myśliwego	Найкращий обладунок мисливця
Wziąłem je z tablicy ogłoszeń.	Я зняв його з дошки оголошень.
Wzmacnia działanie wytwarzanych mikstur,	Посилює дію приготованих настоїв,
Wzmocniona kusza	Зміцнений арбалет
Wzmocniona pika	Посилена піка
Wzmocniony kij bojowy	Зміцнений бойовий посох
Wzmocniony łuk brzozowy	Зміцнений березовий лук
Wzmocniony łuk bukowy	Зміцнений буковий лук
Wzmocniony łuk tropiciela	Зміцнений лук слідопита
Wzór Testamentu	Зразок заповіту
Wzór testamentu zgodny z wolą Valerio.	Зразок заповіту згідно з заповітом Валеріо.
Wąż błotny	Болотожер
Wąż morski	Хвилежер
Wędka	Вудка
Wędrowiec	Мандрівник
Wędrowna handlarka	Мандрівна торговка
Wędrowny kupiec	Мандрівний торговець
Wędzona ryba ziołowa	Копчена риба з травами
Węgiel	Вугілля
Węglarz	Вугляр
Własność Vrazki.	Власність Вразки.
Właściwości	Властивості
Włócznia	Спис
Włócznia Obrońcy Archolos	Спис захисника Архолосу
Włócznia Południowca	Спис південця
Włócznia Rodowa Ramseya	Фамільний спис Рамзі
Włócznia należała do rodu Ramseya od wieków.	Цей спис століттями належав родині Рамзі.
Włócznia żołdaka	Спис солдата
Włócznia żołnierska	Солдатський спис
Włóczęga	Волоцюга
Włókno cięciwy	Волокно для тятиви
Włóż miecz	Опустити меч
Wściekła obywatelka	Сердита містянка
Wściekły dzik	Скажений кабан
Wściekły farmer	Сердитий фермер
Wściekły obywatel	Сердитий містянин
Wściekły rybak	Сердитий рибалка
Wśród łotrów	Серед негідників
Xar	Xar
Xavi - Nani the fuck omae reading? B-Baka!	Xavi – 'Nani в біса omae ти це читаєш? B-Baka!'
Z Woli Innosa: Tom I	Заповіти Інноса. Том I
Z Woli Innosa: Tom II	Заповіти Інноса. Том II
Z Woli Innosa: Tom III	Заповіти Інноса. Том III
Z Woli Innosa: Tom IV	Заповіти Інноса. Том IV
Z Woli Innosa: Tom IX	Заповіти Інноса. Том IX
Z Woli Innosa: Tom V	Заповіти Інноса. Том V
Z Woli Innosa: Tom VI	Заповіти Інноса. Том VI
Z Woli Innosa: Tom VII	Заповіти Інноса. Том VII
Z Woli Innosa: Tom VIII	Заповіти Інноса. Том VIII
Z Woli Innosa: Tom X	Заповіти Інноса. Том X
Z Woli Innosa: Tom XI	Заповіти Інноса. Том XI
Z Woli Innosa: Tom XII	Заповіти Інноса. Том XII
Z Woli Innosa: Tom XIII	Заповіти Інноса. Том XIII
Z Woli Innosa: Tom XIV	Заповіти Інноса. Том XIV
Z ciężkim pancerzem kolczym +	З важкою кольчугою +
Z jaskini kretoszczurów.	З печери кротощурів.
Z pancerzem Nordmarczyka +	Зі нордмарським обладунком +
Z pancerzem Południowca +	З південним обладунком +
Z pancerzem Wilczego syna +	З обладунком Вовчих Синів
Z pancerzem kolczym +	З кольчугою +
Z pancerzem kusznika straży +	З обладунком вартового арбалетника +
Z pancerzem najemnika Araxos +	З обладунком мечника Араксос +
Z pancerzem strażnika +	З обладунком вартового +
Z pancerzem szermierza straży +	З обладунком вартового мечника +
Z pancerzem łowcy Araxos +	З обладунком мисливця Араксос +
Z racji wieku, większość jest już nieczytelna.	Через свій вік, більшу частину вже не можна прочитати.
Z tej księgi można się nauczyć	З цієї книги ви зможете навчитися
Z trudem udało mi się go wyjąć	Насилу мені вдалося витягти його
Z Życia Złodzieja - Pracownia ślusarska	З Життя Злодія – Слюсарна майстерня
Za daleko do magicznego kręgu...	Занадто далеко від магічного кола...
Za każdy następny pierścień i amulet Maga Wody +	За кожен перстень та амулет мага Води +
Za każdy następny pierścień i amulet Myrtańczyka +	За кожен перстень та амулет Міртанця +
Za każdy następny pierścień i amulet Nordmarczyka +	За кожен перстень та амулет Нордмарця +
Za każdy następny pierścień i amulet Pirata +	За кожен перстень та амулет Пірата +
Za każdy następny pierścień i amulet Południowca +	За кожен перстень та амулет південця +
Za każdy następny pierścień i amulet Wilczego Syna +	За кожен перстень та амулет Вовчих Синів +
Za każdy następny pierścień i amulet Wodnego Kręgu +	За кожен перстень та амулет Кільця Води +
Za każdy następny pierścień i amulet mistrza przywołań +	За кожен перстень та амулет майстра виклику +
Za każdy następny pierścień i amulet z Archolos +	За кожен перстень та амулет Архолосу +
Za mało many...	Недостатньо мани...
Zabierz wielki kocioł	Взяти великий казан
Zabrałem go jednemu	Я забрав його у одного з
Zabrałem go magowi z ruin Vardhal.	Я забрав його у мага в руїнах Вардхалу.
Zabrałem go z ciała poszukiwacza przygód.	Я забрав його з тіла шукача пригод.
Zabójca	Zabójca
Zachodnia brama	Західні ворота
Zachowało się tylko kilka fragmentów	Збереглося лише кілька фрагментів
Zachowuje naturalne właściwości jabłek.	Зберігає натуральні властивості яблук.
Zaczekaj do końca mszy.	Зачекати до закінчення служби.
Zaczekaj do następnego południa.	Зачекати до наступного полудня.
Zaczekaj do następnego rana.	Зачекати до наступного ранку.
Zaczekaj do następnego wieczora.	Зачекати до наступного вечора.
Zaczekaj do następnej północy.	Зачекати до наступної опівночі.
Zaczekaj do trzeciej w nocy.	Зачекати до третьої години ночі.
Zacznij kopać	Почати копати
Zacznij pracować	Приступити до роботи
Zaczyna ci się lekko kręcić w głowie.	Починає трохи паморочитися в голові.
Zaczyna przypominać ostrze.	Починає нагадувати клинок.
Zagadkowy wędrowiec	Загадковий мандрівник
Zaginione składniki Bodowina	Зниклі інгредієнти Бодовіна
Zaginiony Pałasz	Загублений палаш
Zaginiony rybak	Зниклий рибалка
Zajmę się nimi dopiero w środku.	Знадобляться, коли буду в гробниці.
Zaklęcie elektryczne	Заклинання блискавки
Zaklęcie ogniste	Заклинання вогню
Zaklęcie przywołania	Заклинання виклику
Zaklęcie wodne	Заклинання води.
ZakonKrwii - 'Aaaaa wypuście mnie'	ZakonKrwii – 'Ааааа випусти мене'
Zakop grób	Закопати могилу
Zakrwawiona kartka z okolic Wilczego Leża	Закривавлена записка з околиць Вовчого Лігва
Zakrwawiona mapa	Закривавлена мапа
Zakrwawiona ręka	Закривавлена рука
Zakrwawiony list	Закривавлений лист
Zakrwawiony list Antonio	Закривавлений лист Антоніо
Zakurzony dziennik Bermara	Запилений щоденник Бермара
Zakurzony otwarty list	Запилений відкритий лист
Zamach na Volkera!	Замах на Волкера!
Zamknięta paczka o osobliwym i znajomym zapachu.	Закритий пакунок зі своєрідним і знайомим запахом.
Zamyślony	Задумливий
Zaniepokojony obywatel	Занепокоєний містянин
Zaostrzony patyk	Загострена палиця
Zapachem bardziej przypomina ocet niż wino.	Запах більше нагадує оцет, ніж вино.
Zapal pochodnię	Запалити смолоскип
Zapasowy klucz	Запасний ключ
Zapasowy klucz do pokoju Igora.	Запасний ключ від кімнати Ігоря.
Zapasy mięsa, które otrzymałem od Slagera	М'ясні припаси, які я отримав від Слагера.
Zapasy od Bastiana	Провізія від Бастіана
Zapasy od Rity	Провізія від Рити
Zapasy od Ruperta	Провізія від Руперта
Zapasy żywności, które otrzymałem	Харчові припаси, які я отримав від
Zapasy żywności, które otrzymałem od Bastiana	Харчові припаси, які я отримав від Бастіана
Zapasy żywności, które otrzymałem od Ernesto	Харчові припаси, які я отримав від Ернесто
Zapasy żywności, które otrzymałem od Helgi	Харчові припаси, які я отримав від Хельги
Zapasy żywności, które otrzymałem od Rity	Харчові припаси, які я отримав від Рити
Zapasy żywności, które otrzymałem od Ruperta	Харчові припаси, які я отримав від Руперта
Zapewne krzepi i odżywia.	Напевно, дуже корисний і поживний.
Zapewnia bonus doświadczenia.	Надає бонус до досвіду.
Zapewnia na stałe +1 do każdej odporności.	Назавжди дає +1 до усіх видів захисту.
Zapewnia na stałe +3 do odporności na broń	Назавжди дає +3 захисту від зброї
Zapewnia ochronę przed upadkiem z wysokości.	Забезпечує захист від падіння з висоти.
Zapewnia oddychanie pod wodą.	Забезпечує дихання під водою.
Zapieczętowany list	Запечатаний лист
Zapiekanka farmerska	Запіканка по-фермерськи
Zapomniana skrzynia	Забута скриня
Zapotrzebowanie - Carden	Замовлення – Карден
Zapotrzebowanie - Dima	Замовлення – Діна
Zapotrzebowanie - Jil	Замовлення – Джил
Zapotrzebowanie - Lokvar	Замовлення – Локвар
Zapotrzebowanie - Odgar	Замовлення – Одгар
Zapotrzebowanie - Remy	Замовлення – Ремі
Zapotrzebowanie - Walter	Замовлення – Волтер
Zapłata od Holdwiga	Плата від Гольдвіга
Zapłata za ostatnią dostawę wina do Przystani.	Оплата за останню доставку вина до Гавані.
Zardzewiały Negocjator	Іржавий Перемовник
Zardzewiały klucz	Іржавий ключ
Zardzewiały krótki miecz	Іржавий короткий меч
Zardzewiały lekki oszczep	Іржавий легкий кортик
Zardzewiały miecz Wilczego Syna	Іржавий меч Вовчого Сина
Zardzewiały miecz dwuręczny	Іржавий дворучний меч
Zardzewiały sztylet	Іржавий кинджал
Zardzewiały topór	Іржава сокира
Zarejestrowani handlarze - Miasto	Зареєстровані торговці – Місто
Zarejestrowani handlarze - Port	Зареєстровані торговці – Порт
Zarejestrowani handlarze - Silbach	Зареєстровані торговці – Сільбах
Zarejestrowani handlarze - Stare Miasto	Зареєстровані торговці – Старе місто
Zarzuć wędkę	Порибалити
Zarzynacz	Забійник
Zarządzenie o Kopalni Złota	Постанова про золоту копальню
Zasadź nasiona	Посадити насіння
Zatruj zapasy	Отруїти запаси
Zatrzymany w ten sposób przeciwnik traci inicjatywę i łatwiej go potem skutecznie zaatakować.	Зупинений таким чином суперник втрачає ініціативу, що дозволяє відразу атакувати його.
Zawiera	Містить
Zawiera informacje na temat płatnerstwa.	Містить інформацію про покращення обладунків.
Zawiera informacje o jakimś starym górniku.	Містить інформацію про якогось старого гірника.
Zawiera informacje o ostatnich	Містить інформацію про останні
Zawiera niepoprawną datę licytacji.	Містить невірну дату торгів.
Zawiera ofertę współpracy od Volkera.	Містить пропозицію співпраці від Волкера.
Zawiera pieczęć Myrtany.	Містить печатку Міртани.
Zawiera wszystkie tajniki Wilczych Synów.	Містить усі таємниці Вовчих Синів.
Zawierają silną wydzielinę.	Вони містять сильну секрецію.
Zawinięty w papier z symbolami Gildii Kupieckiej.	Загорнутий у папір з символікою Торгової Гільдії.
Zawinięty w papier z symbolami Straży Miejskiej.	Загорнутий у папір з символікою Міської варти.
Założyłeś broń podczas trwania efektu pierścieni pięściarza!	Ви спорядили зброю, коли ефект боксерських кілець був активним!!
Zaświadczenie Slagera	Сертифікат Слагера
Zaświadczenie czeladnicze, które otrzymałem od	Посвідчення помічника,
Zbadaj deski	Оглянути дошки
Zbadaj kamienie	Оглянути каміння
Zbadaj kocioł	Оглянути казан
Zbadaj kufer	Оглянути скриню
Zbadaj linę	Оглянути мотузку
Zbadaj stertę książek	Оглянути стопку книг
Zbadaj tarcze	Оглянути щити
Zbadaj wina	Оглянути вина
Zbadaj worki	Оглянути мішки
Zbadaj znak	Оглянути знак
Zbadaj zwłoki	Оглянути труп
Zbieg	Втікач
Zbierz krew	Зібрати кров
Zbir	Головоріз
Zbożowa starka	Зерновий туманник
Zbroja Rycerska	Обладунок лицаря
Zbroja Rycerska (9000 SZ)	Обладунок лицаря (9000 золотих)
Zbroja Straży Królewskiej	Обладунок королівської гвардії
Zbroja kusznika straży	Важкий обладунок вартового арбалетника
Zbroja szermierza Araxos	Важкий обладунок мечника Араксос
Zbroja szermierza straży	Важкий обладунок вартового мечника
Zbroja z Vardhal	Обладунки з Вардхалу
Zbroja z pancerzy krabów	Обладунок з панцира краба
Zbroja z pancerzy krabów (2200 SZ)	Обладунок з крабових панцирів (2200 золота)
Zbuntowany nowicjusz	Бунтівний послушник
Zbutwiała kusza treningowa	Згнилий тренувальний арбалет
Zbutwiała lekka kusza	Згнилий легкий арбалет
Zbutwiała włócznia	Згнилий спис
Zbutwiały długi łuk	Згнилий довгий лук
Zbutwiały łuk tropiciela	Згнилий лук слідопита
Zdarzenie Na Morzu - Stocznia	Випадок у Морі – Корабельня
Zdezorientowany farmer	Розгублений фермер
Zdobiona kusza	Оздоблений арбалет
Zdobiona skrzyneczka.	Прикрашена скринька.
Zdobiona szkatułka	Прикрашена скринька
Zdobione ostrze	Оздоблений клинок
Zdobiony miecz	Оздоблений меч
Zdobiony miecz z grobowca. Może przydać się później.	Оздоблений меч з гробниці. Може стати в нагоді пізніше.
Zdobiony topór	Прикрашена сокира
Zdobyłeś 1 kawałek drewna!	Видобуто 1 шматок деревини!
Zdobyłeś 2 kawałki drewna!	Видобуто 2 шматки деревини!
Zdobyłeś 3 kawałki drewna!	Видобуто 3 шматки деревини!
Zdrajca Moreterius	Zdrajca Moreterius
Zdrowotny wywar, który pozytywnie wpływa	Корисний відвар, що позитивно впливає
Ze strojem gońca Araxos +	З вбранням посланця Араксос +
Ze strojem myśliwego lub skórzanym +	З мисливськими або шкіряними обладунками +
Ze zbroją kusznika straży +	З важким обладунком вартового арбалетника +
Ze zbroją najemnika Araxos +	З важким обладунком мечника Араксос +
Ze zbroją szermierza straży +	З важким обладунком вартового мечника +
Ze zbroją łowcy Araxos +	З обладунком стрільця Араксос +
Ze środka wydobywają się jakieś ciche szmery.	Зсередини долинають якісь тихі звуки.
Zejście do kanałów	Вхід в каналізацію
Zepsuta ryba	Протухла рибина
Zepsute wino	Зіпсоване вино
Zerwałem ją z ciała Oscara,	Я вирвав її з тіла Оскара,
Zestaw desek do przybijania.	Набір дощок.
Zestaw młotków	Набір молотків
Zestaw narzędzi ślusarskich	Набір слюсарних інструментів
Zestaw posiłkowy	Продуктовий набір
Zestaw przedmiotów związanych z Gildią Araxos.	Набір предметів, пов'язаних з Гільдією Араксос.
Zestaw przedmiotów związanych z Klasztorem Wody.	Набір предметів, пов'язаних з монастирем магів Води.
Zestaw przedmiotów związanych z Południowcami.	Набір предметів, пов'язаних з південцями.
Zestaw przedmiotów związanych z Wilczym Leżem.	Набір предметів, пов'язаних з Вовчим Лігвом.
Zestaw przedmiotów związanych z piratami.	Набір предметів, пов'язаних з піратами.
Zestaw przedmiotów związanych ze Strażą Miejską.	Набір предметів, пов'язаних з Міською Вартою.
Zestaw wytrychów dla początkujących	Набір відмичок для початківця
Zestaw wytrychów od Davisa	Набір відмичок від Девіса
Zestaw zawiera tuzin wytrychów.	До набору входить дюжина відмичок.
Zestrzel kamyk	Вистрілити в камінь
Zetnij	Зрубати
Zetnij krzaki	Скосити кущі
Zew Ognia - Piekarnia	Поклик Вогню – Пекарня
Zgniłe resztki	Гнилі залишки
Zgodnie z jego treścią, jestem teraz właścicielem	Згідно з ним, я тепер володію
Zguba Arniego	Загибель Арні
Ziele lecznicze	Цілюща трава
Zielony strój	Зелене вбрання
Zielony strój podróżnika	Зелене вбрання мандрівника
Zielony strój podróżnika (350 SZ)	Зелене вбрання мандрівника (350 золота)
Zielony strój z czapką	Зелене вбрання з капелюхом
Ziemny aloes	Земляне алое
Zimne, owcze mleko.	Холодне овече молоко.
Zimny	Мороз
Zioło o przyjemnym i ciepłym smaku.	Трава з приємним і терпким смаком.
Ziołowa zupa trolla	Трав'яний суп троля
Zjadana głównie przez dzikie zwierzęta.	Нею харчуються переважно дикі тварини.
Zjawa	Примара
Zjednoczyciel	Об'єднувач
Zlecenie Petry	Замовлення Петри
Zlecenie na płytki pancerza pełzaczy	Замовлення для панцирі повзунів
Zlecenie od Volkera	Наказ Волкера
Zlecenie polowania na Krwiożercę.	Мисливське замовлення на Кровососа.
Zlecenie polowania na Twardziela.	Мисливське замовлення на Міцнюгу.
Zlecenie polowania na Tłuściocha.	Мисливське замовлення на Товстуна.
Zlecenie polowania na białego niedźwiedzia.	Мисливське замовлення на білого ведмедя.
Zlecenie polowania na chore szczury.	Мисливське замовлення на заражених щурів.
Zlecenie polowania na kryształowego golema.	Мисливське замовлення на кришталевого голема.
Zlecenie polowania na lodowe wilki.	Мисливське замовлення на крижаних вовків.
Zlecenie polowania na niepokojącą bestię.	Мисливське замовлення на тривожного звіра.
Zlecenie polowania na przerośniętego ścierwojada.	Мисливське замовлення на падальника-переростка.
Zlecenie polowania na smoki.	Мисливське замовлення на драконів.
Zlecenie polowania na trolle górskie.	Мисливське замовлення на гірських тролів.
Zlecenie polowania na wściekłego dzika.	Мисливське замовлення на скаженого кабана.
Zlecenie polowania na śpiącego cieniostwora.	Мисливське замовлення на сплячого тінезвіра.
Zlecenie porwania Jorna	Замовлення на викрадення Йорна
Zmartwiona obywatelka	Стурбована містянка
Zmartwiony obywatel	Стурбований містянин
Zmień wygląd ścian w swoim domu!	Змініть вигляд стін у вашому помешканні!
Zmora wargów	Прокляття варгів
Znajduje się na nim moja podobizna.	На ньому мій портрет.
Znak od Lorenzo.	Знак від Лоренцо.
Znalazłem go na dachu klasztoru.	Я знайшов його на даху монастиря.
Znalazłem go przy ciele Antonio.	Я знайшов його на тілі Антоніо.
Znalazłem go przy targowisku Dimy.	Я знайшов його біля прилавку Діни.
Znalazłem go przy trupie	Я знайшов його біля мертвого тіла
Znalazłem go przy zwłokach	Я знайшов його біля трупа,
Znalazłem go u rzekomego gońca, który mnie napadł.	Я знайшов його у вдаваного посланця, який напав на мене.
Znalazłem go w chacie Kurta.	Я знайшов його в хатині Курта.
Znalazłem go w jaskini przy Mglistych Moczarach.	Я знайшов його в печері на Туманних болотах.
Znalazłem go w jego pracowni.	Я знайшов його в його майстерні.
Znalazłem go w kufrze Jona.	Я знайшов його в скрині Йона.
Znalazłem go w porcie.	Я знайшов його в порту.
Znalazłem go w srebrnej skrzynce	Я знайшов його в срібній скриньці
Znalazłem je na dnie jeziora	Я знайшов її на дні озера
Znalazłem ją na dachu klasztoru.	Я знайшов його на даху монастиря.
Znalazłem ją na opuszczonym cmentarzu.	Я знайшов її на покинутому кладовищі.
Znalazłem ją przy bandycie	Я знайшов її у бандита
Znalazłem ją przy ciele w piwnicy Bodowina.	Я знайшов її біля тіла в підвалі Бодовіна.
Znalazłem ją przy twierdzy Vardhal.	Я знайшов її біля фортеці Вардхал.
Znalazłem ją przy zwłokach Fulko.	Я знайшов її на тілі Фалько.
Znalazłem ją przy zwłokach pirata,	Я знайшов її на трупі пірата,
Znalazłem ją przy ławce,	Я знайшов його біля лавки,
Znalazłem ją w jeziorze niedaleko Wilczego Leża.	Я знайшов її в озері неподалік від Вовчого Лігва.
Znalazłem ją w kapliczce Innosa na cmentarzu.	Я знайшов її біля святині Інноса на кладовищі.
Znalazłem ją w kopalni srebra.	Я знайшов її в срібній копальні.
Znalazłem ją w pobliżu dźwigu	Я знайшов його поблизу підйомника,
Znalazłem ją w pobliżu ruin Vardhal.	Я знайшов її біля руїн Вардхалу.
Znalazłem ją w twierdzy Vardhal.	Я знайшов її у фортеці Вардхал.
Znalazłem ją w wieży w kopalni Araxos.	Я знайшов його у вежі в копальні Араксос.
Znalazłem te notatki	Я знайшов ці нотатки
Znalazłem ten dziennik przy ciele Detlowa.	Я знайшов цей щоденник біля тіла Детлоу.
Znalazłem ten klucz przy zwłokach Bodowina.	Я знайшов цей ключ біля трупа Бодовіна.
Znalazłem ten list przy	Я знайшов цей лист у
Znalazłem to ogłoszenie w piwnicy Bodowina.	Я знайшов це оголошення в підвалі Бодовіна.
Znana tylko podniebieniom z wyższych sfer,	Відомий тільки представникам вищого класу,
Zniecierpliwiony	Нетерплячий
Zniszcz beczkę	Розламати діжку
Zniszcz gniazdo	Знищити гніздо
Zniszcz skrzynię z narzędziami	Знищити скриньку з інструментами
Zniszcz skrzynkę	Розламати ящик
Zniszcz łódkę Harolda	Пошкодити човен Гарольда
Zniszcz łódkę Svena	Пошкодити човен Свена
Zniszczona drewniana skrzyneczka	Зламана дерев'яна скринька
Zniszczona sieć rybacka	Пошкоджена рибальська сітка
Zniszczony pancerz Wilczego Syna	Зламаний обладунок Вовчого Сина
Zniszczony pancerz paladyna	Зношений обладунок паладина
Zniszczony strój myśliwego	Зношений обладунок мисливця
Zombie	Мрець
Został podpisany przez Petrę.	Підписаний Петрою.
Zróżnicowania dieta	Різноманітне харчування
Zręczność + 1	Спритність + 1
Zręczność + 2	Спритність + 2
Zupa grzybowa imitująca mięsne flaczki mimo	Грибний суп, схожий на м'ясні нутрощі.
Zupa korzenna z kapustą	Гострий суп з капустою
Zupa kucharza	Кухарський суп
Zupa rybna	Рибний суп
Zupa rybna z ziołami	Рибний суп із травами
Zupa wykonana z ulubionej rośliny trolli,	Суп з улюбленої рослини тролів,
Zupa z nietoperza	Суп з кажана
Zupa z pokrzyw	Суп з кропиви
Zupa ze starego chleba	Суп зі старого хліба
Zupa ze szczawiu królewskiego	Суп із королівського щавлю
Zużyta dębowa kusza	Поношений дубовий арбалет
Zużyty strój obywatela	Поношене вбрання містянина
Zvenr	Zvenr
Zwinięte w rulon liście bagiennego ziela.	Згорнуте листя болотної трави.
Zwiększa krzepę fizyczną.	Збільшує фізичну силу.
Zwiększa maksymalne punkty many o:	Бонус макс. мани:
Zwiększa maksymalne punkty trafień o:	Бонус макс. здоров'я
Zwiększa obrażenia zadawane zaklęciami:	Збільшує шкоду від заклинань:
Zwiększa siłę czterokrotnie	Збільшує силу в чотири рази.
Zwycięzca areny	Переможець арени
Zwykła kula armatnia.	Звичайне гарматне ядро.
Zwykła pochodnia.	Просто смолоскип.
Zwykła skrzynia	Звичайна скриня
Zwykła skrzynia pełna ryb.	Звичайний ящик, повен риби.
Zwykła ławka	Звичайну лавка
Zwykła, drewniana skrzynia	Звичайний дерев'яний ящик
Zwykła, trochę zardzewiała żelazna łopata.	Звичайна, злегка іржава залізна лопата.
Zwykłe koło wozu.	Звичайне колесо від воза.
Zwykłe pomyje.	Звичайні помиї.
Zwykłe łóżko	Звичайне ліжко
Zwykłe, śmierdzące, owcze łajno.	Звичайний, смердючий, овечий гній.
Zwykły kamień	Звичайний камінь
Zwój	Сувій
Zwój  |  Zaklęcie Beliara	Сувій | Заклинання Беліара
Zwój  |  Zaklęcie Beliara  |  Obszarowe	Сувій | Заклинання Беліара | По площі
Zwój  |  Zaklęcie Paladyna	Сувій | Заклинання паладина
Zwój  |  Zaklęcie elektryczne	Сувій | Заклинання блискавки
Zwój  |  Zaklęcie elektryczne  |  Inwestycyjne	Сувій | Заклинання блискавки | Потрібно підтримувати
Zwój  |  Zaklęcie elektryczne  |  Obszarowe	Сувій | Заклинання блискавки | По площі
Zwój  |  Zaklęcie neutralne	Сувій | Нейтральне заклинання
Zwój  |  Zaklęcie neutralne  |  Inwestycyjne	Сувій | Нейтральне заклинання | Потрібно підтримувати
Zwój  |  Zaklęcie ogniste	Сувій | Заклинання вогню
Zwój  |  Zaklęcie ogniste  |  Inwestycyjne/Obszarowe	Сувій | Заклинання вогню | Потрібно підтримувати/по площі
Zwój  |  Zaklęcie ogniste  |  Obszarowe	Сувій | Заклинання вогню | По площі
Zwój  |  Zaklęcie przemiany	Сувій | Заклинання перетворення
Zwój  |  Zaklęcie przywołania	Сувій | Заклинання виклику
Zwój  |  Zaklęcie wiatru	Сувій | Заклинання вітру
Zwój  |  Zaklęcie wodne	Сувій | Заклинання води
Zwój  |  Zaklęcie wodne  |  Obszarowe	Сувій | Заклинання води | По площі
Zwłoki	Труп
Zwłoki Allana	Труп Алана
Zwłoki Arsa	Труп Арса
Zwłoki Bevina	Труп Бевіна
Zwłoki Bolesa	Труп Болеса
Zwłoki Burkharda	Труп Бурхарда
Zwłoki Caramona	Труп Карамона
Zwłoki Darryla	Труп Деріла
Zwłoki Davisa	Труп Девіса
Zwłoki Dinkela	Труп Дінкеля
Zwłoki Feila	Труп Фейла
Zwłoki Finbara	Труп Фінбара
Zwłoki Flory	Труп Флори
Zwłoki Fridy	Труп Фріди
Zwłoki Fulko	Труп Фулко
Zwłoki Garosa	Труп Гароса
Zwłoki Gaura	Труп Гаура
Zwłoki Harolda	Труп Гарольда
Zwłoki Hilgera	Труп Хільгера
Zwłoki Hoda	Труп Хода
Zwłoki Ingora	Труп Інгора
Zwłoki Kurta	Труп Курта
Zwłoki Lei	Труп Леї
Zwłoki Lorenzo	Труп Лоренцо
Zwłoki Maiwen	Труп Мейвен
Zwłoki Malena	Труп Малена
Zwłoki Normana	Труп Нормана
Zwłoki Odgara	Труп Одгара
Zwłoki Oktava	Труп Октава
Zwłoki Oscara	Труп Оскара
Zwłoki Roela	Труп Роела
Zwłoki Rudiego	Труп Руді
Zwłoki Ruperta	Труп Руперта
Zwłoki Ruuda	Труп Рууда
Zwłoki Saula	Труп Сола
Zwłoki Sigunda	Труп Сігунда
Zwłoki Tilla	Труп Тілля
